Cluster,Feature_set_index,Feature_set_code,Model,train_rmse,val_rmse,train_r2,val_r2,overfit,bias,best_params,grid_best_score
all_data,37,G2 + species + Physicochemical + Fps,XGB,0.12309574264111176,0.293680863036146,0.9398325450908293,0.6890826405516886,0.2507499045391407,-0.008263751035267313,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.3782250692001607
all_data,38,G2 + species + Physicochemical + PCs,LR,0.4351850366222549,0.5254510035737836,0.2479902281784051,0.00469055147952524,0.24329967669887986,-0.020000275563204738,,
all_data,38,G2 + species + Physicochemical + PCs,RF,0.2257774136604271,0.34693877367998704,0.797587856892671,0.5660903055408082,0.23149755135186278,-0.017466317169018513,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.3982391546428712
all_data,38,G2 + species + Physicochemical + PCs,XGB,0.12486821064448991,0.30527705988302517,0.9380873558321889,0.6640442984938237,0.2740430573383652,-0.007650224040481741,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.3820493889930597
all_data,39,G2 + species + Fps + PCs,LR,0.37658993604822133,0.46853530753802786,0.4368643844709954,0.2086322960025463,0.2282320884684491,-0.012770831822926633,,
all_data,39,G2 + species + Fps + PCs,RF,0.23918206489091057,0.3327877657044139,0.772839509709618,0.6007652103774305,0.17207429933218754,-0.0164734252403195,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.3928148792178517
all_data,39,G2 + species + Fps + PCs,XGB,0.16842380016089828,0.30341417297067547,0.887362630405244,0.6681319815355165,0.21923064886972754,-0.008353027910348927,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.3767857594321416
all_data,40,G2 + species + Physicochemical + Fps + PCs,LR,0.375296746803954,0.46895647559062564,0.44072529779729086,0.2072089300740788,0.23351636772321205,-0.012482437827308646,,
all_data,40,G2 + species + Physicochemical + Fps + PCs,RF,0.24113992766819697,0.35066532803130007,0.769105372280217,0.5567187828646989,0.21238658941551813,-0.018247696255213414,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.39803437194198543
all_data,40,G2 + species + Physicochemical + Fps + PCs,XGB,0.13286760476882667,0.2977806449468867,0.9299006828395823,0.6803412421095045,0.24955944073007774,-0.007763987354032547,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.3833376626332332
all_data,41,G1 + G2 + species,LR,0.4628457599651628,0.5244570371596274,0.14935538942577142,0.008452532904971943,0.14090285652079948,-0.020484909034637424,,
all_data,41,G1 + G2 + species,RF,0.3064959458705386,0.45326259517413503,0.6269860754590729,0.25938340812206606,0.36760266733700686,-0.01247125127140948,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.4129029878782558
all_data,41,G1 + G2 + species,XGB,0.3096638380765395,0.434147412194745,0.6192354041445504,0.3205334074767192,0.29870199666783115,-0.014211582446523832,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.4170253414362853
all_data,42,G1 + G2 + species + Physicochemical,LR,0.44683588220751375,0.5384143674225998,0.20718536675063326,-0.04502566365881577,0.25221103040944903,-0.022728838430519396,,
all_data,42,G1 + G2 + species + Physicochemical,RF,0.22896913832506174,0.3539153603148464,0.7918245677295076,0.5484638777492308,0.24336068998027682,-0.01600521432777558,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.39367281220452455
all_data,42,G1 + G2 + species + Physicochemical,XGB,0.12968184768632976,0.2923307922302739,0.933221915880395,0.6919346862185376,0.24128722966185745,-0.009064068832748897,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.3758009243279414
all_data,43,G1 + G2 + species + Fps,LR,0.3765899360482213,0.46853530753802797,0.4368643844709955,0.20863229600254574,0.22823208846844978,-0.012770831822926827,,
all_data,43,G1 + G2 + species + Fps,RF,0.2744218011599756,0.3388097755178232,0.7009713524799797,0.5861856566198695,0.11478569586011012,-0.017845280538634864,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.3877074671396687
all_data,43,G1 + G2 + species + Fps,XGB,0.18469234973651094,0.29471082603508586,0.8645517529543932,0.686897990758244,0.17765376219614926,-0.010621807045395908,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.3811295175747113
all_data,44,G1 + G2 + species + PCs,LR,0.4364551073643451,0.5150800925561267,0.24359439997705534,0.043591988706740525,0.20000241127031482,-0.018868080847927664,,
all_data,44,G1 + G2 + species + PCs,RF,0.22124691034768287,0.32524134890181455,0.8056296553192756,0.6186663043766236,0.18696335094265193,-0.01457095650757851,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.3913819764592983
